fecha,distrito,densidad_poblacional,dia_semana,mes,feria,evento_especial,clima,historial_residuos,tipo_zona,actividad_comercial,bloqueos,transitabilidad_vial,residuos_generados
2023-04-23,Max Paredes,11000,Domingo,4,1,0,Lluvia,88.0,Residencial,90,0,1,197.3
2023-04-24,Villa Fátima,8500,Lunes,4,0,0,Lluvia,96.9,Mixto,50,0,1,113.0
2023-04-25,Villa Fátima,8500,Martes,4,0,0,Nublado,65.1,Comercial,50,0,1,129.1
2023-04-26,Sopocachi,10500,Miércoles,4,0,0,Tormenta,149.2,Mixto,80,0,1,172.7
2023-04-27,Villa Fátima,8500,Jueves,4,0,0,Nublado,158.3,Comercial,50,0,1,174.0
2023-04-28,Cotahuma,9500,Viernes,4,1,0,Nublado,182.9,Comercial,70,0,1,290.0
2023-04-29,Miraflores,10000,Sábado,4,0,0,Soleado,143.7,Industrial,85,1,0,364.6
2023-04-30,Sopocachi,10500,Domingo,4,1,0,Nublado,59.4,Industrial,80,0,1,209.7
2023-05-01,San Pedro,9000,Lunes,5,0,0,Soleado,199.5,Mixto,75,0,1,184.2
2023-05-02,Periférica,7000,Martes,5,0,0,Tormenta,94.1,Residencial,60,0,1,80.1
2023-05-03,Villa Fátima,8500,Miércoles,5,0,0,Tormenta,135.8,Comercial,50,0,1,135.2
2023-05-04,Cotahuma,9500,Jueves,5,0,0,Tormenta,77.1,Residencial,70,0,0,132.6
2023-05-05,Sopocachi,10500,Viernes,5,0,0,Lluvia,160.3,Residencial,80,0,1,216.9
2023-05-06,Cotahuma,9500,Sábado,5,0,0,Lluvia,95.3,Mixto,70,1,0,250.1
2023-05-07,Centro,12000,Domingo,5,1,0,Lluvia,137.7,Comercial,95,0,1,317.4
2023-05-08,San Pedro,9000,Lunes,5,0,0,Soleado,150.6,Residencial,75,0,1,135.2
2023-05-09,Cotahuma,9500,Martes,5,0,0,Lluvia,156.5,Comercial,70,0,1,175.5
2023-05-10,Periférica,7000,Miércoles,5,1,0,Lluvia,148.2,Comercial,60,0,1,184.7
2023-05-11,Miraflores,10000,Jueves,5,0,0,Nublado,76.1,Mixto,85,0,1,201.5
2023-05-12,Villa Fátima,8500,Viernes,5,0,0,Lluvia,170.7,Mixto,50,0,1,124.5
2023-05-13,Villa Fátima,8500,Sábado,5,0,1,Soleado,183.9,Mixto,50,0,1,157.4
2023-05-14,Periférica,7000,Domingo,5,0,0,Nublado,151.6,Industrial,60,0,1,157.8
2023-05-15,Cotahuma,9500,Lunes,5,1,0,Soleado,94.8,Industrial,70,1,1,358.9
2023-05-16,Zona Sur,7500,Martes,5,0,0,Nublado,73.2,Comercial,55,0,1,106.0
2023-05-17,Sur,8000,Miércoles,5,1,0,Tormenta,166.3,Industrial,65,0,1,212.5
2023-05-18,Villa Fátima,8500,Jueves,5,0,0,Tormenta,104.7,Mixto,50,0,1,117.7
2023-05-19,Zona Sur,7500,Viernes,5,0,0,Tormenta,104.9,Industrial,55,0,1,150.0
2023-05-20,Periférica,7000,Sábado,5,1,1,Lluvia,68.8,Mixto,60,0,0,158.7
2023-05-21,Cotahuma,9500,Domingo,5,0,0,Nublado,100.1,Mixto,70,0,1,131.3
2023-05-22,Sur,8000,Lunes,5,0,0,Nublado,140.2,Mixto,65,0,1,128.1
2023-05-23,Centro,12000,Martes,5,0,0,Nublado,110.4,Residencial,95,0,1,227.8
2023-05-24,Sopocachi,10500,Miércoles,5,0,0,Nublado,115.7,Industrial,80,0,1,212.4
2023-05-25,Miraflores,10000,Jueves,5,0,0,Soleado,193.5,Industrial,85,0,1,302.4
2023-05-26,Sopocachi,10500,Viernes,5,0,0,Nublado,117.6,Mixto,80,0,0,244.0
2023-05-27,Miraflores,10000,Sábado,5,0,0,Lluvia,190.0,Comercial,85,0,1,207.2
2023-05-28,Centro,12000,Domingo,5,0,0,Soleado,51.6,Residencial,95,0,1,200.9
2023-05-29,Zona Sur,7500,Lunes,5,0,0,Lluvia,192.9,Comercial,55,0,0,206.5
2023-05-30,Zona Sur,7500,Martes,5,0,0,Soleado,92.6,Comercial,55,0,1,120.1
2023-05-31,Max Paredes,11000,Miércoles,5,0,0,Nublado,101.2,Industrial,90,0,1,253.5
2023-06-01,Cotahuma,9500,Jueves,6,0,0,Nublado,76.0,Industrial,70,0,1,177.7
2023-06-02,Sur,8000,Viernes,6,0,0,Tormenta,130.8,Mixto,65,0,1,165.5
2023-06-03,Sopocachi,10500,Sábado,6,0,0,Nublado,172.9,Residencial,80,0,0,210.9
2023-06-04,Periférica,7000,Domingo,6,0,0,Nublado,83.1,Comercial,60,0,1,113.6
2023-06-05,San Pedro,9000,Lunes,6,1,1,Nublado,69.9,Mixto,75,0,1,227.3
2023-06-06,Zona Sur,7500,Martes,6,0,0,Soleado,194.8,Mixto,55,0,1,143.3
2023-06-07,Zona Sur,7500,Miércoles,6,0,0,Lluvia,190.1,Residencial,55,0,1,108.1
2023-06-08,San Pedro,9000,Jueves,6,0,0,Soleado,88.9,Residencial,75,0,1,118.7
2023-06-09,Periférica,7000,Viernes,6,0,1,Tormenta,147.0,Comercial,60,0,1,187.9
2023-06-10,Cotahuma,9500,Sábado,6,0,0,Soleado,175.3,Residencial,70,0,1,148.3
2023-06-11,Villa Fátima,8500,Domingo,6,0,0,Lluvia,106.4,Comercial,50,0,1,104.2
2023-06-12,Sur,8000,Lunes,6,0,0,Tormenta,138.1,Comercial,65,0,1,179.7
2023-06-13,San Pedro,9000,Martes,6,0,0,Tormenta,159.8,Residencial,75,0,1,170.6
2023-06-14,Sur,8000,Miércoles,6,0,1,Tormenta,169.8,Industrial,65,0,1,218.5
2023-06-15,Miraflores,10000,Jueves,6,0,0,Soleado,182.8,Industrial,85,0,0,324.8
2023-06-16,Max Paredes,11000,Viernes,6,0,0,Lluvia,165.4,Mixto,90,0,1,293.0
2023-06-17,Miraflores,10000,Sábado,6,0,0,Soleado,121.1,Industrial,85,0,1,207.5
2023-06-18,Miraflores,10000,Domingo,6,0,0,Nublado,75.9,Residencial,85,0,1,145.7
2023-06-19,Max Paredes,11000,Lunes,6,0,0,Nublado,101.5,Residencial,90,0,1,184.8
2023-06-20,San Pedro,9000,Martes,6,0,0,Tormenta,165.4,Industrial,75,0,1,212.5
2023-06-21,Sur,8000,Miércoles,6,0,0,Soleado,151.6,Comercial,65,0,1,173.1
2023-06-22,Sopocachi,10500,Jueves,6,0,0,Lluvia,63.0,Residencial,80,0,1,135.3
2023-06-23,Zona Sur,7500,Viernes,6,0,0,Soleado,189.1,Mixto,55,1,1,191.8
2023-06-24,Periférica,7000,Sábado,6,0,0,Soleado,62.1,Comercial,60,0,1,104.9
2023-06-25,Max Paredes,11000,Domingo,6,0,0,Nublado,115.2,Industrial,90,0,1,220.8
2023-06-26,Max Paredes,11000,Lunes,6,0,0,Soleado,190.3,Comercial,90,0,1,264.6
2023-06-27,Periférica,7000,Martes,6,0,0,Lluvia,187.2,Residencial,60,0,1,125.2
2023-06-28,Max Paredes,11000,Miércoles,6,0,0,Nublado,91.0,Comercial,90,0,0,316.0
2023-06-29,Max Paredes,11000,Jueves,6,0,0,Lluvia,94.4,Industrial,90,0,1,247.1
2023-06-30,Miraflores,10000,Viernes,6,0,0,Lluvia,170.1,Comercial,85,0,1,277.0
2023-07-01,Sur,8000,Sábado,7,1,0,Nublado,148.8,Industrial,65,0,1,216.5
2023-07-02,Miraflores,10000,Domingo,7,0,0,Soleado,86.5,Comercial,85,0,1,205.4
2023-07-03,Centro,12000,Lunes,7,0,0,Soleado,168.8,Industrial,95,0,1,322.3
2023-07-04,San Pedro,9000,Martes,7,0,0,Lluvia,180.6,Industrial,75,0,1,205.3
2023-07-05,Periférica,7000,Miércoles,7,0,0,Nublado,113.3,Mixto,60,0,1,125.5
2023-07-06,Miraflores,10000,Jueves,7,0,0,Soleado,181.8,Comercial,85,0,0,327.9
2023-07-07,Sopocachi,10500,Viernes,7,0,0,Tormenta,197.6,Comercial,80,0,1,286.0
2023-07-08,Zona Sur,7500,Sábado,7,0,0,Nublado,130.1,Mixto,55,1,1,143.1
2023-07-09,Cotahuma,9500,Domingo,7,0,0,Tormenta,97.7,Comercial,70,0,1,150.1
2023-07-10,Villa Fátima,8500,Lunes,7,0,0,Nublado,131.7,Residencial,50,0,1,124.4
2023-07-11,Sopocachi,10500,Martes,7,0,0,Lluvia,187.6,Industrial,80,0,1,269.4
2023-07-12,Miraflores,10000,Miércoles,7,0,0,Lluvia,196.6,Mixto,85,0,1,243.4
2023-07-13,San Pedro,9000,Jueves,7,0,0,Soleado,87.9,Comercial,75,0,1,173.4
2023-07-14,Sopocachi,10500,Viernes,7,0,0,Soleado,178.5,Industrial,80,0,1,265.5
2023-07-15,Sur,8000,Sábado,7,0,0,Lluvia,100.3,Comercial,65,0,1,132.6
2023-07-16,Periférica,7000,Domingo,7,0,0,Lluvia,62.7,Mixto,60,0,1,94.8
2023-07-17,Periférica,7000,Lunes,7,0,0,Nublado,143.9,Mixto,60,1,1,217.5
2023-07-18,Zona Sur,7500,Martes,7,1,0,Tormenta,153.7,Residencial,55,0,1,132.0
2023-07-19,Centro,12000,Miércoles,7,0,0,Lluvia,74.2,Residencial,95,0,0,259.4
2023-07-20,Max Paredes,11000,Jueves,7,0,0,Soleado,101.7,Mixto,90,0,1,268.3
2023-07-21,Centro,12000,Viernes,7,0,0,Tormenta,63.6,Industrial,95,0,1,310.4
2023-07-22,Villa Fátima,8500,Sábado,7,0,0,Soleado,112.7,Residencial,50,0,0,91.3
2023-07-23,Miraflores,10000,Domingo,7,0,0,Soleado,176.5,Mixto,85,0,1,234.5
2023-07-24,Villa Fátima,8500,Lunes,7,0,0,Lluvia,172.6,Residencial,50,0,1,115.6
2023-07-25,San Pedro,9000,Martes,7,1,0,Lluvia,196.1,Industrial,75,0,0,418.4
2023-07-26,Villa Fátima,8500,Miércoles,7,0,0,Lluvia,176.0,Mixto,50,0,1,130.0
2023-07-27,Periférica,7000,Jueves,7,0,0,Soleado,170.5,Industrial,60,0,1,158.6
2023-07-28,Sopocachi,10500,Viernes,7,0,0,Nublado,156.8,Mixto,80,0,1,210.5
2023-07-29,Miraflores,10000,Sábado,7,0,0,Tormenta,86.6,Comercial,85,0,0,220.1
2023-07-30,Sopocachi,10500,Domingo,7,0,0,Soleado,134.1,Industrial,80,0,0,275.3
2023-07-31,San Pedro,9000,Lunes,7,0,0,Soleado,182.3,Comercial,75,0,1,215.0
2023-08-01,Sur,8000,Martes,8,1,1,Lluvia,89.8,Comercial,65,0,1,270.0
2023-08-02,Max Paredes,11000,Miércoles,8,0,0,Lluvia,118.5,Residencial,90,0,1,223.0
2023-08-03,Miraflores,10000,Jueves,8,0,1,Nublado,106.5,Mixto,85,0,1,286.7
2023-08-04,Max Paredes,11000,Viernes,8,1,0,Soleado,120.7,Mixto,90,0,1,402.0
2023-08-05,Periférica,7000,Sábado,8,0,1,Lluvia,187.7,Industrial,60,0,1,182.8
2023-08-06,Sur,8000,Domingo,8,0,0,Soleado,167.3,Residencial,65,0,1,122.5
2023-08-07,Periférica,7000,Lunes,8,0,0,Nublado,128.7,Industrial,60,0,1,164.9
2023-08-08,Miraflores,10000,Martes,8,0,0,Nublado,153.9,Industrial,85,0,1,288.2
2023-08-09,Miraflores,10000,Miércoles,8,0,0,Lluvia,85.8,Residencial,85,0,1,180.5
2023-08-10,Cotahuma,9500,Jueves,8,1,0,Soleado,66.9,Industrial,70,0,1,285.9
2023-08-11,Villa Fátima,8500,Viernes,8,1,0,Soleado,113.6,Mixto,50,0,1,183.0
2023-08-12,Sopocachi,10500,Sábado,8,0,0,Lluvia,199.4,Residencial,80,0,1,176.6
2023-08-13,Centro,12000,Domingo,8,0,0,Soleado,142.6,Industrial,95,0,1,345.0
2023-08-14,Zona Sur,7500,Lunes,8,0,1,Tormenta,108.2,Industrial,55,0,1,147.2
2023-08-15,Max Paredes,11000,Martes,8,1,1,Soleado,134.8,Industrial,90,0,1,489.7
2023-08-16,Periférica,7000,Miércoles,8,0,0,Tormenta,157.6,Residencial,60,0,1,126.7
2023-08-17,Miraflores,10000,Jueves,8,0,0,Nublado,118.1,Comercial,85,0,0,271.3
2023-08-18,Max Paredes,11000,Viernes,8,0,0,Nublado,54.2,Mixto,90,0,1,231.2
2023-08-19,Max Paredes,11000,Sábado,8,0,0,Lluvia,130.7,Comercial,90,0,1,239.8
2023-08-20,Sur,8000,Domingo,8,0,0,Nublado,151.9,Mixto,65,0,1,126.9
2023-08-21,Sur,8000,Lunes,8,1,0,Nublado,173.2,Mixto,65,0,0,243.3
2023-08-22,Periférica,7000,Martes,8,0,0,Tormenta,106.5,Residencial,60,0,1,103.5
2023-08-23,Miraflores,10000,Miércoles,8,0,0,Lluvia,68.9,Mixto,85,0,1,194.6
2023-08-24,Miraflores,10000,Jueves,8,0,0,Tormenta,73.8,Mixto,85,0,1,181.2
2023-08-25,Max Paredes,11000,Viernes,8,0,0,Nublado,134.5,Residencial,90,0,1,201.1
2023-08-26,Sopocachi,10500,Sábado,8,0,0,Lluvia,180.7,Residencial,80,0,1,168.3
2023-08-27,Periférica,7000,Domingo,8,0,0,Tormenta,198.6,Mixto,60,0,1,158.7
2023-08-28,Centro,12000,Lunes,8,0,0,Tormenta,99.7,Industrial,95,0,1,281.9
2023-08-29,Periférica,7000,Martes,8,1,0,Lluvia,113.7,Mixto,60,0,1,147.8
2023-08-30,Villa Fátima,8500,Miércoles,8,0,0,Soleado,126.4,Residencial,50,0,1,104.9
2023-08-31,Cotahuma,9500,Jueves,8,1,0,Lluvia,60.8,Mixto,70,0,0,238.7
2023-09-01,Sopocachi,10500,Viernes,9,1,0,Lluvia,132.4,Industrial,80,1,1,402.9
2023-09-02,Villa Fátima,8500,Sábado,9,0,0,Soleado,149.1,Comercial,50,0,1,150.4
2023-09-03,Centro,12000,Domingo,9,0,0,Tormenta,126.7,Comercial,95,0,1,288.6
2023-09-04,Villa Fátima,8500,Lunes,9,0,0,Nublado,190.0,Industrial,50,0,1,169.7
2023-09-05,Sopocachi,10500,Martes,9,0,0,Lluvia,170.9,Residencial,80,1,1,193.4
2023-09-06,Sopocachi,10500,Miércoles,9,0,0,Nublado,143.1,Comercial,80,0,1,253.1
2023-09-07,Villa Fátima,8500,Jueves,9,0,0,Tormenta,116.1,Comercial,50,0,1,138.4
2023-09-08,Villa Fátima,8500,Viernes,9,0,0,Nublado,182.6,Residencial,50,0,1,145.5
2023-09-09,Villa Fátima,8500,Sábado,9,0,0,Lluvia,59.5,Residencial,50,0,0,88.2
2023-09-10,Sur,8000,Domingo,9,0,0,Lluvia,69.3,Comercial,65,0,1,119.5
2023-09-11,Max Paredes,11000,Lunes,9,0,0,Soleado,161.3,Industrial,90,0,1,305.2
2023-09-12,Cotahuma,9500,Martes,9,0,1,Nublado,127.6,Mixto,70,0,1,245.6
2023-09-13,Sur,8000,Miércoles,9,0,0,Tormenta,78.1,Mixto,65,0,1,100.6
2023-09-14,Zona Sur,7500,Jueves,9,0,0,Nublado,130.2,Industrial,55,0,1,133.2
2023-09-15,Periférica,7000,Viernes,9,0,0,Lluvia,59.6,Residencial,60,0,1,82.1
2023-09-16,Miraflores,10000,Sábado,9,0,0,Lluvia,112.0,Residencial,85,0,1,145.7
2023-09-17,Zona Sur,7500,Domingo,9,0,0,Tormenta,159.7,Residencial,55,0,0,101.2
2023-09-18,Sur,8000,Lunes,9,0,0,Nublado,180.3,Comercial,65,0,1,179.0
2023-09-19,Cotahuma,9500,Martes,9,1,0,Lluvia,97.2,Industrial,70,0,1,248.4
2023-09-20,Centro,12000,Miércoles,9,0,0,Nublado,199.8,Residencial,95,1,0,455.6
2023-09-21,Periférica,7000,Jueves,9,0,0,Tormenta,166.8,Industrial,60,0,1,162.4
2023-09-22,Periférica,7000,Viernes,9,0,0,Soleado,76.5,Industrial,60,0,1,146.4
2023-09-23,Sopocachi,10500,Sábado,9,0,0,Lluvia,148.3,Comercial,80,0,1,190.4
2023-09-24,Max Paredes,11000,Domingo,9,0,0,Soleado,123.1,Residencial,90,0,1,189.6
